"","id","x","y","alpha","major","minor","area","frame","track","pred1","pred2","TPX","BPX","trayn","camera","rep","trial","position"
"1",1,295.5,447.5,0,7,5,25,1,1,165.92857142857,371.324675324675,283,290,1,1,2,2,1
"2",1,304.900024414062,445.299991607666,-26.5650482177734,5.81377649307251,4.91934967041016,22,2,1,-52.9577113560299,371.568831802963,283,290,1,1,2,2,1
"3",1,313.250030517578,441.250011444092,-45,7.07106781005859,4.94974708557129,24.5,3,1,-247.393567766466,371.785715078379,283,290,1,1,2,2,1
"4",1,323.750030517578,435.750011444092,-45,7.07106781005859,4.94974708557129,26.5,4,1,-491.893567766467,372.058442351106,283,290,1,1,2,2,1
"5",1,331.500030517578,428.500007629395,-45,7.07106781005859,4.24264049530029,23,5,1,-672.357853480753,372.259741052405,283,290,1,1,2,2,1
"6",1,340.5,419.5,90,5,5,18.5,6,1,-881.928571428577,372.493506493506,283,290,1,1,2,2,1
"7",1,346.450012207031,408.149993896484,-71.5650482177734,6.32455492019653,3.47850513458252,15,7,1,-1020.47885567802,372.648052265118,283,290,1,1,2,2,1
"8",1,350,395,90,6,4,20,8,1,-1103.14285714286,372.74025974026,283,290,1,1,2,2,1
"9",1,352.600006103516,391.700004577637,-26.5650482177734,6.70820379257202,4.47213554382324,20,9,1,-1163.68585641044,372.807792366325,283,290,1,1,2,2,1
"10",1,352,389.5,-90,7,4,21,10,1,-1149.71428571429,372.792207792208,283,290,1,1,2,2,1
"11",1,348.5,381.500007629395,45,7.07106781005859,4.24264049530029,23,11,1,-1068.21428571429,372.701298701299,283,290,1,1,2,2,1
"12",1,348.5,381.500007629395,45,7.07106781005859,4.24264049530029,23,12,1,-1068.21428571429,372.701298701299,283,290,1,1,2,2,1
"13",1,347,371,-90,6,4,20,13,1,-1033.28571428572,372.662337662338,283,290,1,1,2,2,1
"14",1,348,356.5,90,7,4,23.5,14,1,-1056.57142857143,372.688311688312,283,290,1,1,2,2,1
"15",1,352,350.999984741211,-45,5.65685367584229,4.24264049530029,19,15,1,-1149.71428571429,372.792207792208,283,290,1,1,2,2,1
"16",1,351.5,344.5,-90,5,3,10,16,1,-1138.07142857143,372.779220779221,283,290,1,1,2,2,1
"17",1,349.5,339.5,-90,5,3,10.5,17,1,-1091.50000000001,372.727272727273,283,290,1,1,2,2,1
"18",1,346.5,335.5,-90,5,3,11,18,1,-1021.64285714286,372.649350649351,283,290,1,1,2,2,1
"19",1,342.269226074219,328.653854370117,56.3099365234375,5.8243522644043,3.05085110664368,11.5,19,1,-923.126264299671,372.539460417512,283,290,1,1,2,2,1
"20",1,342,327,90,4,2,5.5,20,1,-916.857142857149,372.532467532467,283,290,1,1,2,2,1
"21",1,473.500061035156,300.499984741211,-45,5.65685367584229,4.24264049530029,16,1,1,595.00341796875,367.522152285033,471,468,2,1,2,2,2
"22",1,474,300,0,6,4,17.5,2,1,623,367.525316455696,471,468,2,1,2,2,2
"23",1,475.500061035156,299.499984741211,-45,5.65685367584229,4.24264049530029,19,3,1,707.003417968746,367.534810512881,471,468,2,1,2,2,2
"24",1,477.500030517578,300.000015258789,-45,4.94974756240845,4.94974708557129,18,4,1,819.001708984368,367.54746854758,471,468,2,1,2,2,2
"25",1,477.5,299.5,0,5,5,17.5,5,1,818.999999999993,367.54746835443,471,468,2,1,2,2,2
"26",1,479,296,-90,6,4,17.5,6,1,902.999999999993,367.556962025316,471,468,2,1,2,2,2
"27",1,478.5,296,-90,6,3,15,7,1,874.999999999993,367.553797468354,471,468,2,1,2,2,2
"28",1,478.5,297,45,6.36396026611328,3.5355339050293,18,8,1,874.999999999993,367.553797468354,471,468,2,1,2,2,2
"29",1,478.5,297,0,5,4,16,9,1,874.999999999993,367.553797468354,471,468,2,1,2,2,2
"30",1,477.25,296.75,45,7.07106781005859,3.5355339050293,16.5,10,1,804.999999999993,367.545886075949,471,468,2,1,2,2,2
"31",1,476,295,45,7.07106781005859,2.82842683792114,16,11,1,734.999999999996,367.537974683544,471,468,2,1,2,2,2
"32",1,477.450042724609,295.649993896484,18.4349498748779,5.69209957122803,4.11096096038818,17,12,1,816.202392578118,367.547152169143,471,468,2,1,2,2,2
"33",1,478,296,0,6,4,18.5,13,1,846.999999999993,367.550632911392,471,468,2,1,2,2,2
"34",1,478,297,0,6,4,17.5,14,1,846.999999999993,367.550632911392,471,468,2,1,2,2,2
"35",1,478.500061035156,296.999984741211,-45,6.36396026611328,3.5355339050293,17,15,1,875.003417968743,367.553797854653,471,468,2,1,2,2,2
"36",1,478.250061035156,298.249969482422,-45,5.65685367584229,3.53553366661072,16.5,16,1,861.003417968743,367.552215576172,471,468,2,1,2,2,2
"37",1,477,300.5,90,5,4,16.5,17,1,790.999999999996,367.544303797468,471,468,2,1,2,2,2
"38",1,475,304,-90,6,4,17.5,18,1,679,367.53164556962,471,468,2,1,2,2,2
"39",1,474.000061035156,305.499984741211,-45,6.36396026611328,3.5355339050293,19,19,1,623.00341796875,367.525316841995,471,468,2,1,2,2,2
"40",1,472.000030517578,306.500015258789,-45,6.3639612197876,3.5355339050293,16,20,1,511.001708984379,367.512658420997,471,468,2,1,2,2,2
